time,ahu_reaPFanRet_y,ahu_reaPFanSup_y,reaPEle_y,reaPFan_y,reaPPum_y
1532760,-3.673320275382158e-269,-3.6733202755914056e-269,205.31062238029617,-7.346640550973563e-269,205.31062238029617
1532790,-5.983955968401082e-275,-5.983955968809791e-275,205.31062238029617,-1.1967911937210873e-274,205.31062238029617
1532820,4.937693530131452e-273,4.937693530410513e-273,205.31062238029617,9.875387060541964e-273,205.31062238029617
1532850,4.493427083962136e-275,4.4934270842191954e-275,205.31062238029617,8.986854168181331e-275,205.31062238029617
1532880,-1.1775012966282796e-274,-1.1775012966956376e-274,205.31062238029617,-2.3550025933239173e-274,205.31062238029617
1532910,1.0429431937806207e-276,1.0429431938391857e-276,205.31062238029617,2.0858863876198063e-276,205.31062238029617
1532940,3.268709801745662e-275,3.26870980193284e-275,205.31062238029617,6.537419603678501e-275,205.31062238029617
1532970,-1.191009961677774e-277,-1.191009961743953e-277,205.31062238029617,-2.382019923421727e-277,205.31062238029617
1533000,-2.7458141733219384e-276,-2.7458141734790183e-276,205.31062238029617,-5.491628346800957e-276,205.31062238029617
1533030,5.766114509197232e-278,5.766114509521622e-278,205.31062238029617,1.1532229018718854e-277,205.31062238029617
1533060,2.42349621919144e-277,2.4234962193302403e-277,205.31062238029617,4.84699243852168e-277,205.31062238029617
1533090,-1.6480175128685774e-278,-1.648017512961579e-278,205.31062238029617,-3.2960350258301564e-278,205.31062238029617
1533120,-2.0735981520338577e-278,-2.0735981521527268e-278,205.31062238029617,-4.1471963041865845e-278,205.31062238029617
1533150,3.312555374575235e-279,3.3125553747624948e-279,205.31062238029617,6.62511074933773e-279,205.31062238029617
1533180,1.5531749908381417e-279,1.5531749909273439e-279,205.31062238029617,3.106349981765486e-279,205.31062238029617
1533210,-5.780241027918667e-280,-5.780241028245869e-280,205.31062238029617,-1.1560482056164535e-279,205.31062238029617
1533240,-1.0263623521484826e-280,-1.0263623522075735e-280,205.31062238029617,-2.052724704356056e-280,205.31062238029617
1533270,8.926121760647844e-281,8.926121761153679e-281,205.31062238029617,1.7852243521801523e-280,205.31062238029617
1533300,5.64431367355967e-282,5.644313673885979e-282,205.31062238029617,1.128862734744565e-281,205.31062238029617
1533330,-1.2509716835067368e-281,-1.2509716835776775e-281,205.31062238029617,-2.5019433670844142e-281,205.31062238029617
1533360,-1.6140356287203867e-283,-1.6140356288145951e-283,205.31062238029617,-3.228071257534982e-283,205.31062238029617
1533390,4.462154654352874e-290,4.4621546546104704e-290,205.4269115839051,8.924309308963344e-290,205.4269115839051
1533420,7.451160502736683e-297,7.451160503161832e-297,208.31998844346253,1.4902321005898515e-296,208.31998844346253
1533450,2.8009349924590165e-303,2.8009349926158346e-303,215.28498354359152,5.601869985074851e-303,215.28498354359152
1533480,1.48236801266682e-309,1.482368012749164e-309,226.5422771911429,2.964736025415983e-309,226.5422771911429
1533510,7.64017626e-316,7.64017626e-316,242.110946639191,1.52803525e-315,242.110946639191
1533540,0.0,0.0,261.7458484580436,0.0,261.7458484580436
1533570,0.0,0.0,284.91924842772045,0.0,284.91924842772045
1533600,0.0,0.0,310.8005657835201,0.0,310.8005657835201
1533630,0.0,0.0,510.23228900809494,0.0,510.23228900809494
1533660,0.0,0.0,509.81973472193,0.0,509.81973472193
1533690,0.0,0.0,509.54920843020716,0.0,509.54920843020716
1533720,0.0,0.0,509.39682734600535,0.0,509.39682734600535
1533750,0.0,0.0,509.3487873426308,0.0,509.3487873426308
1533780,0.0,0.0,509.3992182591817,0.0,509.3992182591817
1533810,0.0,0.0,509.54913283458285,0.0,509.54913283458285
1533840,0.0,0.0,509.8063586962823,0.0,509.8063586962823
1533870,0.0,0.0,510.186441655947,0.0,510.186441655947
1533900,0.0,0.0,510.71472644901087,0.0,510.71472644901087
1533930,0.0,0.0,511.4301127009837,0.0,511.4301127009837
1533960,0.0,0.0,512.3914675789365,0.0,512.3914675789365
1533990,0.0,0.0,513.6885137977506,0.0,513.6885137977506
1534020,0.0,0.0,515.4606064636339,0.0,515.4606064636339
1534050,0.0,0.0,517.9298771218029,0.0,517.9298771218029
1534080,0.0,0.0,521.460908358561,0.0,521.460908358561
1534110,0.0,0.0,527.0792202545988,0.0,527.0792202545988
1534140,0.0,0.0,531.4618095403852,0.0,531.4618095403852
1534170,0.0,0.0,518.241738315802,0.0,518.241738315802
1534200,0.0,0.0,430.45713350550136,0.0,430.45713350550136
1534230,0.0,0.0,285.21516589207766,0.0,285.21516589207766
1534260,0.0,0.0,214.51741404078274,0.0,214.51741404078274
1534290,0.0,0.0,205.31062238029614,0.0,205.31062238029614
1534320,0.0,0.0,205.31062238029614,0.0,205.31062238029614
1534350,0.0,0.0,205.31062238029614,0.0,205.31062238029614
1534380,0.0,0.0,205.31062238029614,0.0,205.31062238029614
1534410,0.0,0.0,205.31062238029614,0.0,205.31062238029614
1534440,0.0,0.0,205.31062238029614,0.0,205.31062238029614
1534470,0.0,0.0,205.31062238029614,0.0,205.31062238029614
1534500,0.0,0.0,205.31062238029614,0.0,205.31062238029614
1534530,0.0,0.0,205.31062238029614,0.0,205.31062238029614
1534560,0.0,0.0,205.31062238029614,0.0,205.31062238029614
1534590,0.0,0.0,205.31062238029614,0.0,205.31062238029614
1534620,0.0,0.0,205.31062238029614,0.0,205.31062238029614
1534650,0.0,0.0,205.31062238029614,0.0,205.31062238029614
1534680,0.0,0.0,205.31062238029614,0.0,205.31062238029614
1534710,0.0,0.0,205.31062238029614,0.0,205.31062238029614
1534740,0.0,0.0,205.31062238029614,0.0,205.31062238029614
1534770,0.0,0.0,205.31062238029614,0.0,205.31062238029614
1534800,0.0,0.0,205.31062238029614,0.0,205.31062238029614
1534830,0.0,0.0,205.31062238029614,0.0,205.31062238029614
1534860,0.0,0.0,205.31062238029614,0.0,205.31062238029614
1534890,0.0,0.0,205.31062238029614,0.0,205.31062238029614
1534920,0.0,0.0,205.31062238029614,0.0,205.31062238029614
1534950,0.0,0.0,205.31062238029614,0.0,205.31062238029614
1534980,0.0,0.0,205.31062238029614,0.0,205.31062238029614
1535010,0.0,0.0,205.31062238029614,0.0,205.31062238029614
1535040,0.0,0.0,205.31062238029614,0.0,205.31062238029614
1535070,0.0,0.0,205.31062238029614,0.0,205.31062238029614
1535100,0.0,0.0,205.31062238029614,0.0,205.31062238029614
1535130,0.0,0.0,205.31062238029614,0.0,205.31062238029614
1535160,0.0,0.0,205.31062238029614,0.0,205.31062238029614
1535190,0.0,0.0,205.31062238029614,0.0,205.31062238029614
1535220,0.0,0.0,205.31062238029614,0.0,205.31062238029614
1535250,0.0,0.0,205.31062238029614,0.0,205.31062238029614
1535280,0.0,0.0,205.31062238029614,0.0,205.31062238029614
1535310,0.0,0.0,205.31062238029614,0.0,205.31062238029614
1535340,0.0,0.0,205.31062238029614,0.0,205.31062238029614
1535370,0.0,0.0,205.31062238029614,0.0,205.31062238029614
1535400,0.0,0.0,205.31062238029614,0.0,205.31062238029614
1535430,0.0,0.0,205.31062238029614,0.0,205.31062238029614
1535460,0.0,0.0,205.31062238029614,0.0,205.31062238029614
1535490,0.0,0.0,205.31062238029614,0.0,205.31062238029614
1535520,0.0,0.0,205.31062238029614,0.0,205.31062238029614
1535550,0.0,0.0,205.31062238029614,0.0,205.31062238029614
1535580,0.0,0.0,205.31062238029614,0.0,205.31062238029614
1535610,0.0,0.0,205.31062238029614,0.0,205.31062238029614
1535640,0.0,0.0,205.31062238029614,0.0,205.31062238029614
1535670,0.0,0.0,205.31062238029614,0.0,205.31062238029614
1535700,0.0,0.0,205.31062238029614,0.0,205.31062238029614
1535730,0.0,0.0,205.31062238029614,0.0,205.31062238029614
1535760,0.0,0.0,205.31062238029614,0.0,205.31062238029614
1535790,0.0,0.0,205.31062238029614,0.0,205.31062238029614
1535820,0.0,0.0,205.31062238029614,0.0,205.31062238029614
1535850,0.0,0.0,205.31062238029614,0.0,205.31062238029614
1535880,0.0,0.0,205.31062238029614,0.0,205.31062238029614
1535910,0.0,0.0,205.31062238029614,0.0,205.31062238029614
1535940,0.0,0.0,205.31062238029614,0.0,205.31062238029614
1535970,0.0,0.0,205.31062238029614,0.0,205.31062238029614
1536000,0.0,0.0,205.31062238029614,0.0,205.31062238029614
1536030,0.0,0.0,205.31062238029614,0.0,205.31062238029614
1536060,0.0,0.0,205.31062238029614,0.0,205.31062238029614
1536090,0.0,0.0,205.31062238029614,0.0,205.31062238029614
1536120,0.0,0.0,205.31062238029614,0.0,205.31062238029614
1536150,0.0,0.0,205.31062238029614,0.0,205.31062238029614
1536180,0.0,0.0,205.31062238029614,0.0,205.31062238029614
1536210,0.0,0.0,205.31062238029614,0.0,205.31062238029614
1536240,0.0,0.0,205.31062238029614,0.0,205.31062238029614
1536270,0.0,0.0,205.31062238029614,0.0,205.31062238029614
1536300,0.0,0.0,205.31062238029614,0.0,205.31062238029614
1536330,0.0,0.0,205.31062238029614,0.0,205.31062238029614
1536360,0.0,0.0,205.31062238029614,0.0,205.31062238029614
1536390,0.0,0.0,205.31062238029614,0.0,205.31062238029614
1536420,0.0,0.0,205.31062238029614,0.0,205.31062238029614
1536450,0.0,0.0,205.31062238029614,0.0,205.31062238029614
1536480,0.0,0.0,205.31062238029614,0.0,205.31062238029614
1536510,0.0,0.0,205.31062238029614,0.0,205.31062238029614
1536540,0.0,0.0,205.31062238029614,0.0,205.31062238029614
1536570,0.0,0.0,205.31062238029614,0.0,205.31062238029614
1536600,0.0,0.0,205.31062238029614,0.0,205.31062238029614
1536630,0.0,0.0,205.31062238029614,0.0,205.31062238029614
1536660,0.0,0.0,205.31062238029614,0.0,205.31062238029614
1536690,0.0,0.0,205.31062238029614,0.0,205.31062238029614
1536720,0.0,0.0,205.31062238029614,0.0,205.31062238029614
1536750,0.0,0.0,205.31062238029614,0.0,205.31062238029614
1536780,0.0,0.0,205.31062238029614,0.0,205.31062238029614
1536810,0.0,0.0,205.31062238029614,0.0,205.31062238029614
1536840,0.0,0.0,205.31062238029614,0.0,205.31062238029614
1536870,0.0,0.0,205.31062238029614,0.0,205.31062238029614
1536900,0.0,0.0,205.31062238029614,0.0,205.31062238029614
1536930,0.0,0.0,205.31062238029614,0.0,205.31062238029614
1536960,0.0,0.0,205.31062238029614,0.0,205.31062238029614
1536990,0.0,0.0,205.31062238029614,0.0,205.31062238029614
1537020,0.0,0.0,205.48189840313552,0.0,205.48189840313552
1537050,0.0,0.0,208.7882912367477,0.0,208.7882912367477
1537080,0.0,0.0,216.5210985763229,0.0,216.5210985763229
1537110,0.0,0.0,228.9014491292116,0.0,228.9014491292116
1537140,0.0,0.0,245.92175624279372,0.0,245.92175624279372
1537170,0.0,0.0,267.28578783376514,0.0,267.28578783376514
