time,oveTSet_u,reaTZon_y
1970-01-24 09:17:30,288.15,293.45080585152107
1970-01-24 09:18:00,288.15,293.44734385018324
1970-01-24 09:18:30,288.15,293.44389636392094
1970-01-24 09:19:00,288.15,293.4404632340166
1970-01-24 09:19:30,288.15,293.4370443030695
1970-01-24 09:20:00,288.15,293.4336394148746
1970-01-24 09:20:30,288.15,293.4302484143085
1970-01-24 09:21:00,288.15,293.4268711472225
1970-01-24 09:21:30,288.15,293.42350746034236
1970-01-24 09:22:00,288.15,293.4201572011733
1970-01-24 09:22:30,288.15,293.4168202179112
1970-01-24 09:23:00,288.15,293.413496359358
1970-01-24 09:23:30,288.15,293.4101854748426
1970-01-24 09:24:00,288.15,293.40688741414453
1970-01-24 09:24:30,288.15,293.40360202742306
1970-01-24 09:25:00,288.15,293.4003291651478
1970-01-24 09:25:30,288.15,293.3970686780338
1970-01-24 09:26:00,288.15,293.3938204169782
1970-01-24 09:26:30,288.15,293.39058423299997
1970-01-24 09:27:00,288.15,293.38735997718084
1970-01-24 09:27:30,288.15,293.38414750060883
1970-01-24 09:28:00,288.15,293.38094665432254
1970-01-24 09:28:30,288.15,293.37775728925703
1970-01-24 09:29:00,288.15,293.37457925619105
1970-01-24 09:29:30,288.15,293.37141240569485
1970-01-24 09:30:00,288.15,293.3682565880792
1970-01-24 09:30:30,288.15,293.3651116803325
1970-01-24 09:31:00,288.15,293.36197759293793
1970-01-24 09:31:30,288.15,293.3588542433361
1970-01-24 09:32:00,288.15,293.35574154816754
1970-01-24 09:32:30,288.15,293.35263942095526
1970-01-24 09:33:00,288.15,293.3495477719755
1970-01-24 09:33:30,288.15,293.34646650858406
1970-01-24 09:34:00,288.15,293.34339553558186
1970-01-24 09:34:30,288.15,293.34033475551155
1970-01-24 09:35:00,288.15,293.337284068875
1970-01-24 09:35:30,288.15,293.3342433742831
1970-01-24 09:36:00,288.15,293.33121256855446
1970-01-24 09:36:30,288.15,293.32819154677685
